rank,uid,username,type,accompany,medal_name,medal_level
1,3546919678773500,灰獺,总督,224,绿冻,47
2,1056997306,異分岐のプリエ,总督,230,绿冻,46
3,13334226,微绫,总督,212,绿冻,45
4,3546983578994744,KOU_KEI,总督,216,绿冻,45
5,321224291,区泽马,总督,144,绿冻,45
6,208818750,你治好了也会流口水,总督,174,绿冻,45
7,24785752,Fndryk,总督,136,绿冻,44
8,1429196293,匹诺曹317,总督,154,绿冻,43
9,6251296,栗帽,总督,111,绿冻,43
10,13012997,污盘子,总督,228,绿冻,43
11,916810,Jing11219,总督,82,绿冻,42
12,189997540,音速の水母,总督,117,绿冻,42
13,546160791,幽人独往来--,总督,24,绿冻,40
14,259162605,Arichi_,提督,213,绿冻,46
15,954264,禅心皈无意,提督,212,绿冻,43
16,620527230,gorilla3535,提督,215,绿冻,43
17,39184396,继续吹着风,提督,224,绿冻,43
18,285693795,星光箱水母,提督,217,绿冻,42
19,476251017,衣水难尽,提督,213,绿冻,42
20,352883270,米洗鳰原葉,提督,172,绿冻,42
21,2399747,绫辻澪,提督,219,绿冻,42
22,485418462,灰泽满家的伊洛本人,提督,159,绿冻,42
23,5266758,水布Mizufu,提督,177,绿冻,41
24,2044760,Stan661,提督,204,绿冻,41
25,1002305706,雪音-xy,提督,159,绿冻,41
26,5623688,Helikobeter,提督,151,绿冻,41
27,39493583,本命伊利亚,提督,212,绿冻,40
28,6580838,兰卡兰卡兰兰的卡,提督,230,绿冻,40
29,228098233,叹虚,提督,192,绿冻,40
30,471084,一稞大青菜,提督,219,绿冻,39
31,18275149,rrrract,提督,223,绿冻,39
32,272305778,明前满绿,提督,101,绿冻,39
33,863500,任任女孩,提督,219,绿冻,38
34,253472118,仿佛有一束追光,提督,176,绿冻,38
35,431935426,摘星踏雪归,提督,181,绿冻,38
36,5775091,sue77776,提督,207,绿冻,38
37,10323817,宇宙人不是外星人,提督,230,绿冻,38
38,494629966,aIIblacks,提督,166,绿冻,38
39,9846384,SekiDawn,提督,144,绿冻,38
40,3567390,NullExistence_X,提督,174,绿冻,38
41,25103813,ヰ繭月,提督,196,绿冻,37
42,177397837,幽云怀煦,提督,135,绿冻,37
43,4940641,_end1ess,提督,220,绿冻,37
44,1603612,月ノneet,提督,202,绿冻,37
45,5366426,選ばれた奏者,提督,210,绿冻,37
46,17322,turtlejk,提督,206,绿冻,37
47,398882736,道明寺萌美,提督,218,绿冻,37
48,209374441,知世xf,提督,213,绿冻,37
49,16934546,yowaai,提督,150,绿冻,37
50,6071558,きんなかいほう,提督,154,绿冻,37
51,496390331,苦瓜无限供应,提督,63,绿冻,37
52,249163668,优等nana,提督,131,绿冻,36
53,1431527,美國華人唐佳欣,提督,204,绿冻,36
54,360576830,DriedJellyfish,提督,24,绿冻,36
55,896687,往枉王旺,提督,212,绿冻,36
56,4045067,Ricardo洞,提督,222,绿冻,36
57,933134,-翊天-,提督,102,绿冻,36
58,237518089,-灼烯-,提督,154,绿冻,36
59,283678245,烟画屏幽,提督,216,绿冻,35
60,172978898,Mercury不是mercury,提督,27,绿冻,35
61,768021,はいいろ773,提督,154,绿冻,35
62,503742062,天邊雨,提督,202,绿冻,35
63,156710135,灰泽满小男友,提督,96,绿冻,35
64,30011434,正义模仿者,提督,25,绿冻,35
65,29552416,我一厢情愿的恋人,提督,64,绿冻,35
66,244453975,大纳言黑翼,提督,163,绿冻,35
67,10158641,暖男爆破猴楼来福,提督,165,绿冻,35
68,8396429,airstone42,提督,60,绿冻,35
69,249486249,larva_中国囚人,提督,114,绿冻,35
70,8943020,Doomshroom,提督,54,绿冻,35
71,26117826,F常胜,提督,117,绿冻,35
72,3546924265245338,那抹烟波那抹蓝,提督,36,绿冻,35
73,5667363,关心坐骨神经疼,提督,174,绿冻,35
74,43749583,吾乃路过,提督,102,绿冻,35
75,446761374,北冥无鱼也无鲲,提督,221,绿冻,35
76,10093973,某_君,提督,47,绿冻,35
77,130855545,Taki923,提督,24,绿冻,35
78,3546794277472781,比奇南,提督,212,绿冻,35
79,49094907,1oz47,提督,202,绿冻,35
80,521223761,芙芙狐狐fuff,提督,111,绿冻,35
81,22290994,River-sea,提督,207,绿冻,35
82,115029256,昔我往矣ら,提督,6,绿冻,35
83,2669417,好吧好吧hh,提督,68,绿冻,34
84,15653509,东东大大,提督,212,绿冻,34
85,12432912,蒲鹭Pulu_official,提督,200,绿冻,34
86,523891,桜羽エマ様,提督,90,绿冻,34
87,306642,刺猬随心配,提督,162,绿冻,34
88,361364517,本間心鈴厨,提督,69,绿冻,34
89,8834996,杀意波动狂级,提督,24,绿冻,34
90,12700680,Lappland--,提督,185,绿冻,34
91,262924074,星天_Change,提督,50,绿冻,34
92,24463362,悦清平,提督,133,绿冻,34
93,441485494,Elixir_02,提督,41,绿冻,34
94,435816551,大梦自知,提督,59,绿冻,34
95,266950833,HYSSNH,提督,105,绿冻,34
96,228981124,唐唐T110120T,提督,90,绿冻,34
97,10472761,胡歌我爱你,提督,145,绿冻,33
98,21172814,なつのだいさんかく,提督,58,绿冻,33
99,188600545,亚妮艾丝克劳蒂尔,提督,120,绿冻,33
100,40699233,闲着没事造点什么,提督,84,绿冻,33
101,383084364,Le1Bn1z_ov0,提督,70,绿冻,33
102,3258837,月茗绮桦,提督,199,绿冻,33
103,501143293,节能-排,提督,67,绿冻,33
104,455783018,醒不过来了QwQ,提督,63,绿冻,33
105,356030985,灰泽满还在嘴硬,提督,160,绿冻,33
106,3843791,布罗迪娅,提督,111,绿冻,33
107,84519881,bigassy,提督,199,绿冻,33
108,85199377,叁拾0030,提督,82,绿冻,33
109,438892258,好男孩乔琪乔,提督,54,绿冻,33
110,239961567,玥今知,提督,114,绿冻,33
111,38739372,_渚风,提督,214,绿冻,33
112,756732,桶装蜜瓜,提督,13,绿冻,33
113,354293626,苦救,提督,187,绿冻,33
114,490562631,黑猫小魔法师,提督,57,绿冻,33
115,1992400,刚大侠,提督,212,绿冻,33
116,46459464,如泪渐雨,提督,111,绿冻,33
117,12976389,橘与柑Orange,提督,46,绿冻,33
118,479746038,橘子合成器,提督,96,绿冻,33
119,32951272,天无无极限,提督,172,绿冻,32
120,2106644,爆裂狂惠惠,提督,6,绿冻,32
121,3546914976959421,过拟合青空,提督,80,绿冻,32
122,319731764,小学生打豆豆,提督,3,绿冻,32
123,3707045662427313,忒修斯之植物,提督,2,绿冻,32
124,5876736,斯堪的纳维纳斯,提督,111,绿冻,32
125,13455735,星梦月茶,提督,54,绿冻,32
126,3677907,李黑羊,提督,24,绿冻,32
127,516875,雨雪交加,提督,84,绿冻,32
128,36122095,琉夜Hano,提督,185,绿冻,32
129,513867469,ace_luku,提督,117,绿冻,32
130,3706934836333286,冰上lvy,提督,179,绿冻,32
131,200608620,迷翰,提督,50,绿冻,32
132,25409041,听海浪的声音,提督,111,绿冻,32
133,20233506,茨鲁卡瓦,提督,84,绿冻,32
134,317354648,可乐泡香烟,提督,110,绿冻,32
135,4464599,天曦,提督,58,绿冻,32
136,33130497,HE-MS,提督,23,绿冻,32
137,33827752,好姐妹空崎日奈,提督,90,绿冻,32
138,22203242,zodiac鸢,提督,111,绿冻,32
139,348417906,乌啦乌啦黒,提督,101,绿冻,32
140,186576425,幽梦红茶,提督,87,绿冻,32
141,11496292,人中受击,提督,128,绿冻,32
142,179107579,不是雾山_,提督,76,绿冻,31
143,8447633,伽蓝之堂的两仪式本人,提督,54,绿冻,31
144,56073645,好想喝coffe啊,提督,24,绿冻,31
145,3707022075759423,还成食薇,提督,41,绿冻,31
146,2027157964,看星星的Laika,提督,77,绿冻,31
147,6273906,粉毛成瘾症,提督,24,绿冻,31
148,32255968,丨以马内利丨,提督,76,绿冻,31
149,341022655,雪洞_,提督,54,绿冻,31
150,1736,教练我想开空调,提督,55,绿冻,31
151,44921412,mussm,提督,24,绿冻,31
152,40099224,雨淋丶夏末,提督,74,绿冻,31
153,1788374,理性分析,提督,54,绿冻,31
154,184658877,库普-库普,提督,24,绿冻,31
155,21468520,E_Y_E,提督,46,绿冻,31
156,23936149,米德维奇妙脆角,提督,10,绿冻,31
157,24445140,maydaycn,提督,54,绿冻,31
158,311820,飞鸟无与还,提督,24,绿冻,31
159,37117728,西门烧烤,提督,24,绿冻,31
160,21093269,绝霸天,提督,24,绿冻,30
161,11912137,SoraLight,提督,24,绿冻,30
162,24120868,陶氏洗澡,提督,24,绿冻,30
163,3707045454809266,L1ct,提督,24,绿冻,30
164,3546935860398854,ioliteFuneral,提督,24,绿冻,30
165,1445159594,琉璃妖灵,提督,10,绿冻,30
166,1296848150,diu_内,提督,24,绿冻,30
167,8097996,明石ito,舰长,217,绿冻,41
168,335998795,自在他化天,舰长,224,绿冻,37
169,27341319,加库伯,舰长,221,绿冻,37
170,14071856,最后一步,舰长,0,绿冻,37
171,1569772,澹台璃沙,舰长,111,绿冻,36
172,4041465,风霜已尽惊蛰至,舰长,0,绿冻,36
173,444186960,中年外卖员阿哔official,舰长,213,绿冻,36
174,297087,可樂中毒,舰长,185,绿冻,35
175,1555138395,风云散丶,舰长,142,绿冻,35
176,234387635,害羞小柚子,舰长,212,绿冻,35
177,3493122468219352,超浓厚水蜜桃果汁,舰长,214,绿冻,35
178,1277473796,灰泽满家的stories,舰长,160,绿冻,35
179,34880793,Mylenenenenene,舰长,221,绿冻,34
180,23279442,不良定义,舰长,228,绿冻,34
181,3546638930938690,灰泽满Sweety单推人O_o十,舰长,144,绿冻,34
182,7108333,理性与感性的结晶体,舰长,181,绿冻,34
183,19830486,我本灾星,舰长,54,绿冻,34
184,11972745,残雨断魂,舰长,217,绿冻,34
185,628611226,孤独な野良猫,舰长,220,绿冻,34
186,7159516,恩仙仙,舰长,230,绿冻,34
187,3461581952256234,三陈小祥-xxx,舰长,174,绿冻,34
188,28611751,不是水果是冰菓,舰长,149,绿冻,33
189,11504337,弥希Mik1,舰长,151,绿冻,33
190,521836918,灰泽满轻度依赖,舰长,212,绿冻,33
191,269109657,次の舞台へ,舰长,227,绿冻,33
192,1622037175,晓璟含挚烁,舰长,206,绿冻,33
193,38928088,偽物WEIWU,舰长,156,绿冻,33
194,141192131,deemp,舰长,161,绿冻,33
195,700643657,南洋怪盗灰泽满,舰长,136,绿冻,33
196,21300440,山月喵,舰长,131,绿冻,32
197,3546682545408719,冰菓ツ,舰长,190,绿冻,32
198,1832560,大小的白帝,舰长,204,绿冻,32
199,39256719,1114ka,舰长,144,绿冻,32
200,294817063,此间好安眠,舰长,195,绿冻,32
201,19884007,南风入弦丶l,舰长,230,绿冻,32
202,13239691,梅莉不加糖,舰长,154,绿冻,32
